sample_id,cohort,controller,candidate_id,safe,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,max_abs_command_m_s2,max_command_step_m_s2,max_thrust_N,max_abs_torque_Nm,max_cutter_angular_speed_rad_s,safety_failure_reasons,solve_time_p95_ms,amplitude_saturation_fraction,slew_activity_fraction,directional_stratum
v5d_strong_post_target_aligned_02,STRONG_POST_TARGET,paper_incremental_mpc,paper_b_021,True,False,,26.23301730517487,5.172930983063863,17.7619492137727,41.785767144123454,68.15828778148115,2.0,0.154723941058493,139.01934691870593,1.287311223952298,0.28784557968616925,[],1.0441,0.1991701244813278,0.0,aligned
v5d_strong_post_target_aligned_03,STRONG_POST_TARGET,paper_incremental_mpc,paper_b_021,True,False,,34.265266909051135,5.209887432462964,26.30967178070993,55.111149124295046,72.94499329475036,2.0,0.1302720112404676,139.25617045790295,1.24102900532245,0.26211982181427274,[],1.0377,0.4730290456431535,0.0,aligned
v5d_strong_post_target_aligned_04,STRONG_POST_TARGET,paper_incremental_mpc,paper_b_021,True,False,,33.08353954844157,5.1056321607089865,24.68002742123217,53.19395965480026,71.42384985621644,2.0,0.12465805187554246,138.3396413389966,1.2704665646128974,0.31238983414619853,[],1.0511,0.2821576763485477,0.0,aligned
v5d_strong_post_target_aligned_05,STRONG_POST_TARGET,paper_incremental_mpc,paper_b_021,True,False,,33.30988056800872,5.2168795379760775,25.22584399163799,53.531617046193745,72.54971021431973,2.0,0.2434784293958223,138.99559127931622,1.2649830124444945,0.2595690730701758,[],1.0436,0.5145228215767634,0.0,aligned
v5d_strong_post_target_opposed_00,STRONG_POST_TARGET,paper_incremental_mpc,paper_b_021,True,False,,37.08870047159867,7.697976524273513,27.699184930618316,59.63649930033851,70.30710752306358,2.0,0.12568511124342763,139.09787783553404,1.2973286775358817,0.2831464317580189,[],1.02,0.34854771784232363,0.0,opposed
v5d_strong_post_target_opposed_01,STRONG_POST_TARGET,paper_incremental_mpc,paper_b_021,True,False,,30.519042506169985,7.6582525740519145,20.764444599323845,48.76629861984978,65.01796180793073,2.0,0.24999999999999997,138.99590046187947,1.2933561526202126,0.2598490756408251,[],1.0349,0.4315352697095436,0.004149377593360996,opposed
v5d_strong_post_target_opposed_02,STRONG_POST_TARGET,paper_incremental_mpc,paper_b_021,True,False,,33.3916163162963,7.780957845386466,25.129296349297345,53.52075386804577,67.5844176099532,2.0,0.211208508302614,138.56177546744772,1.2783328464610866,0.24831021000230383,[],1.0291,0.24896265560165975,0.0,opposed
v5d_strong_post_target_opposed_03,STRONG_POST_TARGET,paper_incremental_mpc,paper_b_021,True,False,,40.15785245490686,7.707685580560641,31.508306728760182,64.66725892145601,72.59450245575574,2.0,0.12606959431015596,138.5504736378165,1.2925213470813142,0.24204384469991064,[],1.0621,0.4896265560165975,0.0,opposed
v5d_strong_post_target_opposed_04,STRONG_POST_TARGET,paper_incremental_mpc,paper_b_021,True,False,,30.64133915366189,7.633852913450997,20.559045582747803,48.95446358384382,65.09126366953336,2.0,0.25,138.64901161183553,1.3017414118590276,0.27443913942764664,[],1.0437,0.23651452282157676,0.004149377593360996,opposed
v5d_strong_post_target_opposed_05,STRONG_POST_TARGET,paper_incremental_mpc,paper_b_021,True,False,,35.983428815709516,7.704203193520457,26.650428525615006,57.80399511163265,69.5361308353427,2.0,0.24999999999999997,138.800267225306,1.3152786193500987,0.2837835495213134,[],1.0286,0.44813278008298757,0.004149377593360996,opposed
v5d_strong_post_target_cross_00,STRONG_POST_TARGET,paper_incremental_mpc,paper_b_021,True,False,,31.216834265863014,4.8973488023453084,21.89383590167778,50.13933910320351,66.54732058916933,2.0,0.25,139.47955759206712,1.2720981954634896,0.20515968922464484,[],1.149,0.0954356846473029,0.004149377593360996,cross
v5d_strong_post_target_cross_01,STRONG_POST_TARGET,paper_incremental_mpc,paper_b_021,True,False,,39.84596186717578,7.52676048244384,30.38235325200482,64.21146162346403,70.3545739003999,2.0,0.15142732555346372,139.63759903230837,1.221427585128229,0.2785318912439386,[],1.0764,0.5394190871369294,0.0,cross
v5d_strong_post_target_cross_02,STRONG_POST_TARGET,paper_incremental_mpc,paper_b_021,True,False,,18.26342615245533,5.099266614212145,11.430086490619766,28.686384737788842,61.58531629329687,2.0,0.25,138.98360354148963,1.2612125818356819,0.30043969142204696,[],1.1136,0.3236514522821577,0.004149377593360996,cross
v5d_strong_post_target_cross_03,STRONG_POST_TARGET,paper_incremental_mpc,paper_b_021,True,False,,32.895941677517186,5.027939777648195,24.182697830110907,52.91233860635705,70.09574768183766,2.0,0.24999999999999997,139.92179863619285,1.2540835413175333,0.29667114625997026,[],1.05,0.45643153526970953,0.004149377593360996,cross
v5d_strong_post_target_cross_04,STRONG_POST_TARGET,paper_incremental_mpc,paper_b_021,True,False,,32.252778065274164,4.683568451640455,23.257438198304353,51.85360442989857,62.49242494784952,2.0,0.12301996974114049,138.9209125844036,1.247398816983553,0.17147624588204485,[],1.0317,0.14522821576763487,0.0,cross
v5d_strong_post_target_cross_05,STRONG_POST_TARGET,paper_incremental_mpc,paper_b_021,True,False,,36.353918122117044,7.3181703214421425,26.621613595286664,58.43720188837445,64.65369483054016,2.0,0.15139782095470866,139.49367506420572,1.2194645903351853,0.21208622033804012,[],1.0384,0.3278008298755187,0.0,cross
v5d_stochastic_4500,NORMAL_STOCHASTIC,paper_incremental_mpc,paper_b_021,True,False,,14.937748028027244,6.044422675458245,4.744469974900496,22.47115174218545,51.07946659642348,2.0,0.14273499588299993,139.8904466631786,1.3074611499040634,0.218934991851636,[],1.0449,0.22406639004149378,0.0,aligned
