controller,stage2_rank,sample_id,safe,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,control_effort,x_control_effort,total_acceleration_effort,max_abs_ax_m_s2,max_ax_step_m_s2,max_abs_ay_m_s2,max_ay_step_m_s2,max_abs_az_m_s2,max_az_step_m_s2,max_cutter_angular_speed_rad_s,max_thrust_N,max_abs_torque_Nm
pid,2,wind_1p5__+z_r0.15,True,True,4.025,0.0597078800612139,0.30106365734250784,,,0.03479031113204444,0.03479031113204444,0.15029820557679055,0.07882259490776466,0.006093481666947273,0.0,0.0,0.7554108272164888,0.25,0.021898346022451116,139.88614857397414,0.05326372509852802
pid,2,wind_3p0__+z_r0.15,True,False,,0.21964289793515535,0.9701037677226418,,,0.5823638399636759,0.5823638399636759,0.7116549287424967,0.3055341477732398,0.024431206524008736,0.0,0.0,0.7744411130711685,0.25,0.09710012081953215,140.1453190744024,0.17415204554238722
pid,2,calm__-z_r0.15,True,True,0.99,0.029780750412311496,0.0,,,0.0,0.0,0.11217005724800738,0.0,0.0,0.0,0.0,0.7499999999999989,0.25,0.0,132.5522045707889,0.0
pid,2,wind_1p5__-z_r0.15,True,True,4.03,0.05945418778911321,0.2885491845835756,,,0.03473474239567695,0.03473474239567695,0.1440401180540657,0.07882259490776466,0.006093481666947273,0.0,0.0,0.7445891727835112,0.25,0.021898346022451116,132.48585622409854,0.05326372509852802
pid,2,wind_3p0__-z_r0.15,True,False,,0.21956427061362435,0.9335391131230679,,,0.5827240049016084,0.5827240049016084,0.6873282670885343,0.3055341477732398,0.024431206524008736,0.0,0.0,0.7242180732490808,0.25,0.09710012081953215,132.31913398815342,0.17415204554238722
pid,2,calm__+x_r0.25,True,True,8.25,0.10970152202610642,0.8743933035617263,,,0.04719900218362098,0.04719900218362098,0.04934234059963117,0.2021677043692147,0.20124999999999998,0.0,0.0,0.026113772939187097,0.00437764435703578,0.044928540794457954,130.22484466111706,0.3171845557106885
pid,2,wind_1p5__+x_r0.25,True,False,,0.10443047404496338,0.913389858715557,,,0.07888493665455058,0.07888493665455058,0.08148935583017497,0.16395573191560428,0.20229630978183505,0.0,0.0,0.03270182696404238,0.00960222983154272,0.053625941302677636,130.31376695336172,0.34065569951448565
pid,2,wind_3p0__+x_r0.25,True,False,,0.20354487240232025,1.3695799978397676,,,0.6200154740306194,0.6200154740306194,0.6291613603385003,0.3362917305677109,0.20605261667432467,0.0,0.0,0.07118638271031695,0.04304132753381737,0.09710012081953215,130.7550356844349,0.4137769998776517
pid,2,calm__-x_r0.25,True,True,8.255,0.10977320061122121,0.8754105795759586,,,0.047349418867660545,0.047349418867660545,0.04948821272360292,0.20216766763363334,0.20125,0.0,0.0,0.028029842790822625,0.004459153242420105,0.04494770404572261,130.25262004728606,0.31718455571068854
pid,2,wind_1p5__-x_r0.25,True,True,2.9699999999999998,0.12554743176324842,0.5438762046942492,,,0.06447447391673898,0.06447447391673898,0.06563437897327641,0.24121347489881567,0.20020369021816495,0.0,0.0,0.02220338273586327,0.00960222983154272,0.031201784831918836,130.17553540965466,0.29337477097530223
pid,2,wind_3p0__-x_r0.25,True,False,,0.27900151336008466,0.7743699067642416,,,0.6122052348571654,0.6122052348571654,0.6164122760365789,0.385765324181889,0.19644738332567532,0.0,0.0,0.07118638271031695,0.04304132753381737,0.09710012081953215,130.7550356844349,0.2188016444815438
